Diario;Día de la Semana;Mes;Pedidos;Facturación;Ingreso neto;Coste producto;Coste envío y embalaje;Coste forma de pago;Beneficio;Carrito Medio;Coste Producto Medio;Bº por Venta;x;Tráfico España;Tráfico Portugal;Tráfico Francia;Tráfico Italia;Tráfico UK;Tráfico IE;Tráfico México;Tráfico Chile;Tráfico TOTAL;x2;Coste ADS España;Coste ADS Portugal;Coste ADS Francia;Coste ADS Italia;Coste ADS UK;Coste ADS IE;Coste ADS México;Coste ADS Chile;TOTAL Coste ADS EroticFeel;x3;Tráfico ADS España;Tráfico ADS Portugal;Tráfico ADS Francia;Tráfico ADS Italia;Tráfico ADS UK;Tráfico ADS IE;Tráfico ADS México;Tráfico ADS Chile;Tráfico TOTAL ADS EroticFeel
01/01/2022;sábado;enero;62; 3.240,86 € ; 2.650,79 € ; 1.436,20 € ; 351,99 € ; 49,75 € ; 810,06 € ; 52,27 € ; 23,16 € ; 13,07 € ;x;1.562 ;267 ;137 ;230 ;120 ;77 ;559 ;134 ;3.086 ;x; 271,13 € ; 80,17 € ; 52,92 € ; 60,53 € ; 34,27 € ;; 134,81 € ;; 633,83 € ;x;729 ;174;98;178;63;50;465;100;1857
02/01/2022;domingo;enero;99; 5.665,29 € ; 4.727,17 € ; 2.711,51 € ; 484,61 € ; 77,95 € ; 1.453,10 € ; 57,23 € ; 27,39 € ; 14,68 € ;x;2.175 ;410 ;188 ;273 ;173 ;101 ;572 ;220 ;4.112 ;x; 370,17 € ; 124,06 € ; 63,37 € ; 69,92 € ; 44,08 € ;; 123,68 € ;; 795,28 € ;x;1.000 ;233;115;204;75;63;421;175;2286
03/01/2022;lunes;enero;165; 8.575,63 € ; 7.037,96 € ; 3.877,56 € ; 748,99 € ; 101,05 € ; 2.300,06 € ; 51,97 € ; 23,50 € ; 13,94 € ;x;2.522 ;505 ;223 ;291 ;188 ;76 ;843 ;296 ;4.944 ;x; 369,69 € ; 132,66 € ; 68,44 € ; 76,63 € ; 31,98 € ;; 194,26 € ;; 873,66 € ;x;1.034 ;247;127;220;69;50;677;242;2666
04/01/2022;martes;enero;125; 5.925,75 € ; 4.882,08 € ; 2.697,36 € ; 672,86 € ; 81,46 € ; 1.421,27 € ; 47,41 € ; 21,58 € ; 11,37 € ;x;2.275 ;476 ;189 ;263 ;167 ;74 ;744 ;255 ;4.443 ;x; 373,79 € ; 131,18 € ; 54,68 € ; 66,16 € ; 30,84 € ;; 180,85 € ;; 837,50 € ;x;1.098 ;266;118;191;62;50;580;201;2566
05/01/2022;miércoles;enero;96; 5.430,73 € ; 4.512,06 € ; 2.561,30 € ; 487,38 € ; 79,91 € ; 1.374,89 € ; 56,57 € ; 26,68 € ; 14,32 € ;x;1.972 ;437 ;186 ;255 ;171 ;68 ;532 ;236 ;3.857 ;x; 284,08 € ; 88,56 € ; 74,78 € ; 67,23 € ; 40,50 € ;; 94,08 € ;; 649,23 € ;x;810 ;215;130;182;78;42;379;178;2014
06/01/2022;jueves;enero;62; 3.731,11 € ; 3.108,42 € ; 1.807,78 € ; 355,92 € ; 50,74 € ; 893,99 € ; 60,18 € ; 29,16 € ; 14,42 € ;x;1.732 ;256 ;173 ;235 ;171 ;66 ;356 ;187 ;3.176 ;x; 286,87 € ; 71,73 € ; 71,81 € ; 73,78 € ; 48,10 € ;; 39,01 € ;; 591,30 € ;x;923 ;133;135;191;114;36;242;137;1911
07/01/2022;viernes;enero;66; 3.867,61 € ; 3.207,01 € ; 1.740,96 € ; 334,79 € ; 52,01 € ; 1.079,25 € ; 58,60 € ; 26,38 € ; 16,35 € ;x;1.673 ;240 ;172 ;273 ;151 ;72 ;339 ;178 ;3.098 ;x; 258,35 € ; 74,89 € ; 53,66 € ; 87,69 € ; 57,70 € ;; 36,07 € ;; 568,36 € ;x;803 ;138;110;217;109;42;193;131;1743
08/01/2022;sábado;enero;59; 2.602,48 € ; 2.161,98 € ; 1.132,46 € ; 308,89 € ; 36,09 € ; 684,55 € ; 44,11 € ; 19,19 € ; 11,60 € ;x;1.519 ;219 ;157 ;227 ;170 ;64 ;276 ;162 ;2.794 ;x; 226,53 € ; 76,30 € ; 61,65 € ; 58,13 € ; 62,26 € ;; 35,63 € ;; 520,50 € ;x;730 ;128;113;174;116;37;170;126;1594
09/01/2022;domingo;enero;64; 3.882,98 € ; 3.258,11 € ; 1.808,84 € ; 314,04 € ; 49,90 € ; 1.085,37 € ; 60,67 € ; 28,26 € ; 16,96 € ;x;1.560 ;280 ;153 ;230 ;183 ;71 ;303 ;170 ;2.950 ;x; 238,89 € ; 105,65 € ; 58,60 € ; 75,64 € ; 66,97 € ;; 38,91 € ;; 584,66 € ;x;783 ;168;110;176;124;36;205;121;1723
10/01/2022;lunes;enero;80; 4.532,28 € ; 3.798,63 € ; 2.106,84 € ; 410,63 € ; 64,63 € ; 1.216,57 € ; 56,65 € ; 26,34 € ; 15,21 € ;x;2.357 ;477 ;222 ;225 ;254 ;124 ;318 ;198 ;4.175 ;x; 228,18 € ; 96,45 € ; 65,10 € ; 59,38 € ; 75,65 € ;; 46,33 € ;; 571,09 € ;x;629 ;201;131;165;146;39;169;150;1630
