Column Name,Value
NewMoon,2022-01-02
NewMoon,2022-02-01
NewMoon,2022-03-02
NewMoon,2022-04-01
NewMoon,2022-04-30
NewMoon,2022-05-30
NewMoon,2022-06-29
NewMoon,2022-07-28
NewMoon,2022-08-27
NewMoon,2022-09-25
NewMoon,2022-10-25
NewMoon,2022-11-23
NewMoon,2022-12-23
FirstQuarter,2022-01-09
FirstQuarter,2022-02-08
FirstQuarter,2022-03-10
FirstQuarter,2022-04-09
FirstQuarter,2022-05-09
FirstQuarter,2022-06-07
FirstQuarter,2022-07-07
FirstQuarter,2022-08-05
FirstQuarter,2022-09-03
FirstQuarter,2022-10-03
FirstQuarter,2022-11-01
FirstQuarter,2022-11-30
FirstQuarter,2022-12-30
FullMoon,2022-01-18
FullMoon,2022-02-16
FullMoon,2022-03-18
FullMoon,2022-04-16
FullMoon,2022-05-16
FullMoon,2022-06-14
FullMoon,2022-07-13
FullMoon,2022-08-12
FullMoon,2022-09-10
FullMoon,2022-10-09
FullMoon,2022-11-08
FullMoon,2022-12-08
ThirdQuarter,2022-01-25
ThirdQuarter,2022-02-23
ThirdQuarter,2022-03-25
ThirdQuarter,2022-04-23
ThirdQuarter,2022-05-22
ThirdQuarter,2022-06-21
ThirdQuarter,2022-07-20
ThirdQuarter,2022-08-19
ThirdQuarter,2022-09-17
ThirdQuarter,2022-10-17
ThirdQuarter,2022-11-16
ThirdQuarter,2022-12-16
