Column Name,Value
b'NewMoon',2022-01-02
b'NewMoon',2022-02-01
b'NewMoon',2022-03-02
b'NewMoon',2022-04-01
b'NewMoon',2022-04-30
b'NewMoon',2022-05-30
b'NewMoon',2022-06-29
b'NewMoon',2022-07-28
b'NewMoon',2022-08-27
b'NewMoon',2022-09-25
b'NewMoon',2022-10-25
b'NewMoon',2022-11-23
b'NewMoon',2022-12-23
b'FirstQuarter',2022-01-09
b'FirstQuarter',2022-02-08
b'FirstQuarter',2022-03-10
b'FirstQuarter',2022-04-09
b'FirstQuarter',2022-05-09
b'FirstQuarter',2022-06-07
b'FirstQuarter',2022-07-07
b'FirstQuarter',2022-08-05
b'FirstQuarter',2022-09-03
b'FirstQuarter',2022-10-03
b'FirstQuarter',2022-11-01
b'FirstQuarter',2022-11-30
b'FirstQuarter',2022-12-30
b'FullMoon',2022-01-18
b'FullMoon',2022-02-16
b'FullMoon',2022-03-18
b'FullMoon',2022-04-16
b'FullMoon',2022-05-16
b'FullMoon',2022-06-14
b'FullMoon',2022-07-13
b'FullMoon',2022-08-12
b'FullMoon',2022-09-10
b'FullMoon',2022-10-09
b'FullMoon',2022-11-08
b'FullMoon',2022-12-08
b'ThirdQuarter',2022-01-25
b'ThirdQuarter',2022-02-23
b'ThirdQuarter',2022-03-25
b'ThirdQuarter',2022-04-23
b'ThirdQuarter',2022-05-22
b'ThirdQuarter',2022-06-21
b'ThirdQuarter',2022-07-20
b'ThirdQuarter',2022-08-19
b'ThirdQuarter',2022-09-17
b'ThirdQuarter',2022-10-17
b'ThirdQuarter',2022-11-16
b'ThirdQuarter',2022-12-16
