Fecha,Último
2022-12-30,"85,91"
2022-12-29,"82,26"
2022-12-28,"83,26"
2022-12-27,"84,68"
2022-12-23,"84,50"
2022-12-22,"81,67"
2022-12-21,"82,58"
2022-12-20,"80,53"
2022-12-19,"80,14"
2022-12-16,"79,49"
2022-12-15,"81,32"
2022-12-14,"82,75"
2022-12-13,"80,86"
2022-12-12,"78,34"
2022-12-09,"76,60"
2022-12-08,"76,59"
2022-12-07,"77,59"
2022-12-06,"79,67"
2022-12-05,"82,66"
2022-12-02,"85,55"
2022-12-01,"86,88"
2022-11-30,"85,43"
2022-11-29,"83,03"
2022-11-28,"83,19"
2022-11-25,"83,63"
2022-11-24,"85,34"
2022-11-23,"85,41"
2022-11-22,"88,36"
2022-11-21,"87,45"
2022-11-18,"87,62"
2022-11-17,"89,78"
2022-11-16,"92,86"
2022-11-15,"93,86"
2022-11-14,"93,14"
2022-11-11,"95,99"
2022-11-10,"93,67"
2022-11-09,"92,65"
2022-11-08,"95,36"
2022-11-07,"97,92"
2022-11-04,"98,57"
2022-11-03,"94,67"
2022-11-02,"96,16"
2022-11-01,"94,65"
2022-10-31,"94,83"
2022-10-28,"95,77"
2022-10-27,"96,96"
2022-10-26,"95,69"
2022-10-25,"91,74"
2022-10-24,"91,21"
2022-10-21,"91,34"
2022-10-20,"90,45"
2022-10-19,"90,56"
2022-10-18,"88,60"
2022-10-17,"90,18"
2022-10-14,"90,15"
2022-10-13,"94,57"
2022-10-12,"92,45"
2022-10-11,"94,29"
2022-10-10,"96,19"
2022-10-07,"97,92"
2022-10-06,"94,42"
2022-10-05,"93,37"
2022-10-04,"91,80"
2022-10-03,"88,86"
2022-09-30,"87,96"
2022-09-29,"88,49"
2022-09-28,"89,32"
2022-09-27,"84,87"
2022-09-26,"82,86"
2022-09-23,"85,03"
2022-09-22,"89,53"
2022-09-21,"88,80"
2022-09-20,"89,40"
2022-09-19,"92,00"
2022-09-16,"91,35"
2022-09-15,"90,84"
2022-09-14,"94,10"
2022-09-13,"93,17"
2022-09-12,"94,00"
2022-09-09,"92,84"
2022-09-08,"88,62"
2022-09-07,"88,00"
2022-09-06,"92,83"
2022-09-05,"95,74"
2022-09-02,"93,02"
2022-09-01,"92,36"
2022-08-31,"96,49"
2022-08-30,"97,84"
2022-08-29,"102,93"
2022-08-26,"99,01"
2022-08-25,"98,46"
2022-08-24,"100,34"
2022-08-23,"99,17"
2022-08-22,"95,81"
2022-08-19,"96,72"
2022-08-18,"96,59"
2022-08-17,"93,65"
2022-08-16,"92,34"
2022-08-15,"95,10"
2022-08-12,"98,15"
2022-08-11,"99,60"
2022-08-10,"97,40"
2022-08-09,"96,31"
2022-08-08,"96,65"
2022-08-05,"94,92"
2022-08-04,"94,12"
2022-08-03,"96,78"
2022-08-02,"100,54"
2022-08-01,"100,03"
2022-07-29,"110,01"
2022-07-28,"107,14"
2022-07-27,"106,62"
2022-07-26,"104,40"
2022-07-25,"105,15"
2022-07-22,"103,20"
2022-07-21,"103,86"
2022-07-20,"106,92"
2022-07-19,"107,35"
2022-07-18,"106,27"
2022-07-15,"101,16"
2022-07-14,"99,10"
2022-07-13,"99,57"
2022-07-12,"99,49"
2022-07-11,"107,10"
2022-07-08,"107,02"
2022-07-07,"104,65"
2022-07-06,"100,69"
2022-07-05,"102,77"
2022-07-04,"113,50"
2022-07-01,"111,63"
2022-06-30,"114,81"
2022-06-29,"116,26"
2022-06-28,"117,98"
2022-06-27,"115,09"
2022-06-24,"113,12"
2022-06-23,"110,05"
2022-06-22,"111,74"
2022-06-21,"114,65"
2022-06-20,"114,13"
2022-06-17,"113,12"
2022-06-16,"119,81"
2022-06-15,"118,51"
2022-06-14,"121,17"
2022-06-13,"122,27"
2022-06-10,"122,01"
2022-06-09,"123,07"
2022-06-08,"123,58"
2022-06-07,"120,57"
2022-06-06,"119,51"
2022-06-03,"119,72"
2022-06-02,"117,61"
2022-06-01,"116,29"
2022-05-31,"122,84"
2022-05-30,"121,67"
2022-05-27,"119,43"
2022-05-26,"117,40"
2022-05-25,"114,03"
2022-05-24,"113,56"
2022-05-23,"113,42"
2022-05-20,"112,55"
2022-05-19,"112,04"
2022-05-18,"109,11"
2022-05-17,"111,93"
2022-05-16,"114,24"
2022-05-13,"111,55"
2022-05-12,"107,45"
2022-05-11,"107,51"
2022-05-10,"102,46"
2022-05-09,"105,94"
2022-05-06,"112,39"
2022-05-05,"110,90"
2022-05-04,"110,14"
2022-05-03,"104,97"
2022-05-02,"107,58"
2022-04-29,"109,34"
2022-04-28,"107,59"
2022-04-27,"105,32"
2022-04-26,"104,99"
2022-04-25,"102,32"
2022-04-22,"106,65"
2022-04-21,"108,33"
2022-04-20,"106,80"
2022-04-19,"107,25"
2022-04-18,"113,16"
2022-04-14,"111,70"
2022-04-13,"108,78"
2022-04-12,"104,64"
2022-04-11,"98,48"
2022-04-08,"102,78"
2022-04-07,"100,58"
2022-04-06,"101,07"
2022-04-05,"106,64"
2022-04-04,"107,53"
2022-04-01,"104,39"
2022-03-31,"107,91"
2022-03-30,"113,45"
2022-03-29,"110,23"
2022-03-28,"112,48"
2022-03-25,"120,65"
2022-03-24,"119,03"
2022-03-23,"121,60"
2022-03-22,"115,48"
2022-03-21,"115,62"
2022-03-18,"107,93"
2022-03-17,"106,64"
2022-03-16,"98,02"
2022-03-15,"99,91"
2022-03-14,"106,90"
2022-03-11,"112,67"
2022-03-10,"109,33"
2022-03-09,"111,14"
2022-03-08,"127,98"
2022-03-07,"123,21"
2022-03-04,"118,11"
2022-03-03,"110,46"
2022-03-02,"112,93"
2022-03-01,"104,97"
2022-02-28,"100,99"
2022-02-25,"97,93"
2022-02-24,"99,08"
2022-02-23,"96,84"
2022-02-22,"96,84"
2022-02-21,"95,39"
2022-02-18,"93,54"
2022-02-17,"92,97"
2022-02-16,"94,81"
2022-02-15,"93,28"
2022-02-14,"96,48"
2022-02-11,"94,44"
2022-02-10,"91,41"
2022-02-09,"91,55"
2022-02-08,"90,78"
2022-02-07,"92,69"
2022-02-04,"93,27"
2022-02-03,"91,11"
2022-02-02,"89,47"
2022-02-01,"89,16"
2022-01-31,"91,21"
2022-01-28,"90,03"
2022-01-27,"89,34"
2022-01-26,"89,96"
2022-01-25,"88,20"
2022-01-24,"86,27"
2022-01-21,"87,89"
2022-01-20,"88,38"
2022-01-19,"88,44"
2022-01-18,"87,51"
2022-01-17,"86,48"
2022-01-14,"86,06"
2022-01-13,"84,47"
2022-01-12,"84,67"
2022-01-11,"83,72"
2022-01-10,"80,87"
